Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementText(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/label_Nueva contrasea (djalo en blanco para_cd8deb""), ""Nueva contraseña (déjalo en blanco para no cambiarla)"")",Chrome 114.0.0.0,,,2023-07-06 00:45:23,2023-07-06 00:45:24,"0,388s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/input_Nueva contrasea (djalo en blanco para_348f97""))",Chrome 114.0.0.0,,,2023-07-06 00:45:24,2023-07-06 00:45:24,"0,396s",PASSED
"verifyElementText(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/label_Confirmar nueva contrasea (djalo en b_eb4d30""), ""Confirmar nueva contraseña (déjalo en blanco para no cambiarla)"")",Chrome 114.0.0.0,,,2023-07-06 00:45:24,2023-07-06 00:45:24,"0,360s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/input_Confirmar nueva contrasea (djalo en b_f543b5""))",Chrome 114.0.0.0,,,2023-07-06 00:45:24,2023-07-06 00:45:25,"0,406s",PASSED
"verifyElementText(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/label_Suscrbete a nuestro boletn""), ""Suscríbete a nuestro boletín"")",Chrome 114.0.0.0,,,2023-07-06 00:45:25,2023-07-06 00:45:25,"0,388s",PASSED
"verifyElementText(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/label_Darte de baja de nuestro boletn""), ""Darte de baja de nuestro boletín"")",Chrome 114.0.0.0,,,2023-07-06 00:45:25,2023-07-06 00:45:26,"0,394s",PASSED
"verifyElementText(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/label_Recibir actualizaciones de pedidos""), ""Recibir actualizaciones de pedidos"")",Chrome 114.0.0.0,,,2023-07-06 00:45:26,2023-07-06 00:45:26,"0,393s",PASSED
Video,Chrome 114.0.0.0,,,2023-07-06 00:45:28,2023-07-06 00:45:28,"0,001s",PASSED
,,,,,,,
Test Cases/ScriptsComunes/DarseDeBajaBoletin_Y_CambiarNombreVisible,Chrome 114.0.0.0,,,2023-07-06 00:45:28,2023-07-06 00:45:39,"11,150s",PASSED
"scrollToElement(findTestObject(""Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/BotonGuardarCambios""), 2)",Chrome 114.0.0.0,,,2023-07-06 00:45:29,2023-07-06 00:45:29,"0,383s",PASSED
"clearText(findTestObject(""Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/input__account_display_name""))",Chrome 114.0.0.0,,,2023-07-06 00:45:29,2023-07-06 00:45:30,"0,431s",PASSED
